rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
441,SQL15001001,รายงานเตรียมตรวจนับสินค้า,IC150001.rpt,SQL,1199,DOCINFO
444,TFRM1140201,ใบเตรียมตรวจนับ Text Mode,TDOC11401.txt,TFRM,0,
445,FRM1140102,ใบเตรียมตรวจนับสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC11402.rpt,FRM,0,
446,FRM1140101,ใบเตรียมตรวจนับสินค้า พร้อมรหัสสินค้า,DOC11401.rpt,FRM,0,
448,RP8150001,รายงานสรุปยอดเงินตามประเภทเอกสาร,IC815001.rpt,RP,0,
449,RP839001,รายงานสรุปสถานะภาพกิจการ,AN839001.rpt,RP,0,
450,RP60404001,รายงานสถานะทางการเงินของกิจการ,BK604001.rpt,RP,0,
451,SQL10001001.,รายงานรายละเอียดใบสั่งซื้อสินค้าตามเอกสาร,IC100001-1.rpt,SQL,2498,DOCINFO
452,SQL110012014,รายงานสรุปใบสั่งซื้อสินค้า ตามเอกสาร,IC110209.rpt,SQL,925,TRANSTKH
454,SQL110012018,รายงานสรุปสินค้าที่สั่งซื้อ ตามโครงการ,IC110216.rpt,SQL,1574,TRANSTKH
455,TFRM1020102,ใบสั่งซื้อ Text Mode พร้อมรหัสสินค้า,TDOC10202.txt,TFRM,0,
456,SQL110012020,รายงานสรุปสินค้าใบสั่งซื้อ ตามเจ้าหนี้,IC110217.rpt,SQL,1701,TRANSTKH
460,TFRM1020101,ใบสั่งซื้อ Text Mode,TDOC10201.txt,TFRM,0,
461,SQL10001031,รายงานรายละเอียดการสั่งซื้อตามสินค้า,IC100031.rpt,SQL,2461,DOCINFO
462,SQL10001033,รายงานสรุปการสั่งซื้อตามสินค้า,IC110222.rpt,SQL,2532,DOCINFO
463,FRM1020103,ใบสั่งซื้อ แบบเส้นและตาราง,DOC10203.RPT,FRM,0,
464,FRM1020104,ใบสั่งซื้อ แบบเส้นและตาราง พร้อมรหัสสินค้า,DOC10204.RPT,FRM,0,
465,FRM1020102,ใบสั่งซื้อ พร้อมรหัสสินค้า,DOC10202.RPT,FRM,0,
466,FRM1020101,ใบสั่งซื้อ,DOC10201.RPT,FRM,0,
467,FRM1020105,ใบสั่งซื้อ (Letter),DOC10205.RPT,FRM,0,
471,SQL10010002,รายงานสรุปเอกสารซื้อ/ส่งคืนตามเอกสาร แสดงเฉพาะมูลค่า,IC100205.RPT,SQL,563,SKUMOVE
